번호	제목	날짜	조회수
29	[채용] 스타벅스 매장별 Barista 모집 _ 4월	2013-04-02	10858
28	스타벅스커피 코리아 홈페이지 접속 일시 중단 안내	2013-03-25	5846
27	안드로이드 스타벅스카드 앱 오류 안내	2013-03-20	18069
26	마이 스타벅스 리워드 접속 일시 중단 안내	2013-03-19	6147
25	스타벅스 코리아 홈페이지 회원가입 접속 일시 중단 안내	2013-02-15	4670
24	설 연휴기간 스타벅스 매장 영업시간 안내 (2월 9일~2월11일)	2013-02-05	30702
23	크리스마스 및 연말연시 스타벅스 매장 영업시간 변경 안내	2012-12-20	52661
22	마이 스타벅스 리워드 접속 일시중단 안내	2012-12-03	4757
21	마이 스타벅스 리워드 접속 일시중단 안내	2012-10-31	5909
20	[채용] 스타벅스 경주보문로점 매장 Barista 채용	2012-10-04	5555
19	스타벅스 트렌드 모니터 STA 3기 모집	2012-08-30	16209
18	마이 스타벅스 리워드 접속 일시중단 안내	2012-08-30	4590
17	[마이스타벅스리워드] 골드카드 배송 및 수령방법 변경 안내	2012-08-20	14313
16	스타벅스 카드 환불 약관 변경 안내	2012-08-02	19797
15	"'일회용 컵 없는 매장' 캠페인 1주년, 여러분의 소중한 의견을 함께 나누어주세요."	2012-01-17	4618
14	마이 스타벅스 리워드 웹/모바일 페이지 접속 일시중단 안내	2011-12-28	4770
13	개인정보취급방침 수정 공지	2011-12-15	2737
12	웹/모바일 페이지 접속 일시중단 안내	2011-12-05	1963
11	웹/모바일 페이지 접속 일시중단 안내	2011-11-28	2359
10	VIA 레시피 공모전 당선작 발표	2011-10-24	6802
9	VIA UCC 공모전 수상자 발표	2011-10-20	2656
8	웹/모바일 페이지 접속 일시중단 안내	2011-10-11	1770
7	마이 스타벅스 리워드 런칭 기념 이벤트 결과 공지	2011-09-30	4081
6	마이 스타벅스 리워드 런칭 기념 이벤트 종료 공지	2011-09-28	2907
5	웹/모바일 페이지 접속 일시중단 안내	2011-09-09	2504
4	"스타벅스 매장, 추석 영업시간 공지입니다. (9월10일 ~ 13일)"	2011-09-08	14207
3	웹페이지 접속 일시중단 안내	2011-08-26	1151
2	웹/모바일 페이지 접속 일시중단 안내	2011-06-22	2060
1	스타벅스 트렌드 모니터 STA(Starbucks Trend Advisor) 모집	2011-05-06	5070
